date,amount,description,category
01-01-2023,49.94,Electricity bill,Utilities
01-01-2023,43.22,Online shopping,Shopping
01-01-2023,19.23,Concert,Entertainment
01-01-2023,10.04,Electronics,Shopping
01-01-2023,57.02,Uber ride,Transport
02-01-2023,156.28,Electricity bill,Utilities
02-01-2023,6.73,Uber ride,Transport
02-01-2023,133.57,Grocery shopping,Food
02-01-2023,116.74,Bus ticket,Transport
02-01-2023,245.89,Concert,Entertainment
02-01-2023,215.69,Coffee,Food
03-01-2023,20.94,Online shopping,Shopping
03-01-2023,241.58,Electricity bill,Utilities
03-01-2023,79.63,Uber ride,Transport
03-01-2023,172.64,Clothing purchase,Shopping
03-01-2023,154.45,Water bill,Utilities
04-01-2023,100.81,Movie night,Entertainment
04-01-2023,109.16,Uber ride,Transport
04-01-2023,12.67,Uber ride,Transport
04-01-2023,115.19,Uber ride,Transport
04-01-2023,232.03,Uber ride,Transport
04-01-2023,240.49,Electricity bill,Utilities
05-01-2023,137.22,Clothing purchase,Shopping
05-01-2023,73.83,Fuel refill,Transport
05-01-2023,39.53,Electricity bill,Utilities
06-01-2023,8.83,Online shopping,Shopping
06-01-2023,53.69,Grocery shopping,Food
06-01-2023,178.18,Concert,Entertainment
06-01-2023,193.96,Concert,Entertainment
06-01-2023,92.82,Clothing purchase,Shopping
07-01-2023,213.26,Water bill,Utilities
07-01-2023,28.38,Internet bill,Utilities
07-01-2023,149.87,Electronics,Shopping
08-01-2023,120.69,Concert,Entertainment
08-01-2023,179.74,Electronics,Shopping
08-01-2023,142.51,Grocery shopping,Food
08-01-2023,179.11,Netflix subscription,Entertainment
09-01-2023,54.42,Fuel refill,Transport
09-01-2023,129.6,Grocery shopping,Food
09-01-2023,153.08,Electronics,Shopping
09-01-2023,61.06,Netflix subscription,Entertainment
10-01-2023,44.5,Concert,Entertainment
10-01-2023,202.99,Uber ride,Transport
10-01-2023,218.51,Grocery shopping,Food
10-01-2023,221.4,Internet bill,Utilities
10-01-2023,224.54,Bus ticket,Transport
10-01-2023,60.84,Grocery shopping,Food
11-01-2023,215.88,Grocery shopping,Food
11-01-2023,123.78,Netflix subscription,Entertainment
11-01-2023,71.01,Coffee,Food
11-01-2023,58.6,Movie night,Entertainment
12-01-2023,20.9,Grocery shopping,Food
12-01-2023,175.59,Uber ride,Transport
12-01-2023,41.28,Netflix subscription,Entertainment
12-01-2023,154.34,Coffee,Food
12-01-2023,13.1,Uber ride,Transport
12-01-2023,63.69,Grocery shopping,Food
13-01-2023,246.48,Clothing purchase,Shopping
13-01-2023,191.6,Water bill,Utilities
13-01-2023,183.41,Netflix subscription,Entertainment
13-01-2023,160.21,Clothing purchase,Shopping
14-01-2023,83.59,Grocery shopping,Food
14-01-2023,149.77,Electronics,Shopping
14-01-2023,179.23,Concert,Entertainment
14-01-2023,47.72,Concert,Entertainment
14-01-2023,234.5,Coffee,Food
15-01-2023,32.8,Netflix subscription,Entertainment
15-01-2023,60.99,Bus ticket,Transport
15-01-2023,131.58,Fuel refill,Transport
16-01-2023,27.81,Fuel refill,Transport
16-01-2023,225.6,Electricity bill,Utilities
16-01-2023,88.06,Concert,Entertainment
17-01-2023,214.8,Concert,Entertainment
17-01-2023,234.23,Coffee,Food
17-01-2023,168.9,Internet bill,Utilities
17-01-2023,235.33,Movie night,Entertainment
17-01-2023,74.56,Grocery shopping,Food
18-01-2023,174.51,Uber ride,Transport
18-01-2023,48.1,Online shopping,Shopping
18-01-2023,126,Electricity bill,Utilities
18-01-2023,181.63,Water bill,Utilities
19-01-2023,95.09,Coffee,Food
19-01-2023,223.55,Electronics,Shopping
19-01-2023,199.73,Concert,Entertainment
19-01-2023,125.67,Coffee,Food
19-01-2023,127.3,Online shopping,Shopping
19-01-2023,193.3,Water bill,Utilities
20-01-2023,238.71,Restaurant,Food
20-01-2023,95.69,Clothing purchase,Shopping
20-01-2023,232.44,Grocery shopping,Food
20-01-2023,241.83,Restaurant,Food
20-01-2023,23.46,Netflix subscription,Entertainment
20-01-2023,51.77,Online shopping,Shopping
21-01-2023,141.42,Movie night,Entertainment
21-01-2023,144.66,Bus ticket,Transport
21-01-2023,247.56,Bus ticket,Transport
22-01-2023,219.96,Movie night,Entertainment
22-01-2023,38.47,Grocery shopping,Food
22-01-2023,203.29,Clothing purchase,Shopping
22-01-2023,217.43,Movie night,Entertainment
23-01-2023,6.27,Internet bill,Utilities
23-01-2023,52.6,Electricity bill,Utilities
23-01-2023,87.81,Water bill,Utilities
24-01-2023,112.43,Uber ride,Transport
24-01-2023,42.99,Netflix subscription,Entertainment
24-01-2023,149.75,Clothing purchase,Shopping
24-01-2023,206.54,Restaurant,Food
24-01-2023,132.95,Netflix subscription,Entertainment
24-01-2023,117.03,Online shopping,Shopping
25-01-2023,137.46,Clothing purchase,Shopping
25-01-2023,242.54,Electricity bill,Utilities
25-01-2023,15.06,Uber ride,Transport
25-01-2023,24.22,Movie night,Entertainment
26-01-2023,24.81,Fuel refill,Transport
26-01-2023,19.26,Grocery shopping,Food
26-01-2023,113.38,Fuel refill,Transport
27-01-2023,73.58,Grocery shopping,Food
27-01-2023,165.99,Electronics,Shopping
27-01-2023,183.86,Clothing purchase,Shopping
27-01-2023,92.21,Movie night,Entertainment
27-01-2023,8.53,Clothing purchase,Shopping
27-01-2023,28.07,Electricity bill,Utilities
28-01-2023,121.17,Electricity bill,Utilities
28-01-2023,125.45,Uber ride,Transport
28-01-2023,118.85,Electricity bill,Utilities
28-01-2023,16.77,Electronics,Shopping
29-01-2023,68.92,Clothing purchase,Shopping
29-01-2023,233.69,Uber ride,Transport
29-01-2023,172.57,Grocery shopping,Food
29-01-2023,217.46,Fuel refill,Transport
30-01-2023,145.47,Movie night,Entertainment
30-01-2023,203.75,Grocery shopping,Food
30-01-2023,158.36,Netflix subscription,Entertainment
30-01-2023,164.61,Grocery shopping,Food
30-01-2023,21.99,Netflix subscription,Entertainment
30-01-2023,28.14,Fuel refill,Transport
31-01-2023,83.15,Restaurant,Food
31-01-2023,10.7,Uber ride,Transport
31-01-2023,74.05,Bus ticket,Transport
31-01-2023,175.7,Internet bill,Utilities
31-01-2023,219.98,Electronics,Shopping
01-02-2023,242.06,Grocery shopping,Food
01-02-2023,108.75,Internet bill,Utilities
01-02-2023,184.25,Netflix subscription,Entertainment
01-02-2023,66.25,Internet bill,Utilities
01-02-2023,171.56,Online shopping,Shopping
01-02-2023,30.27,Coffee,Food
02-02-2023,126.66,Restaurant,Food
02-02-2023,77.92,Restaurant,Food
02-02-2023,18.1,Netflix subscription,Entertainment
03-02-2023,27.37,Coffee,Food
03-02-2023,170.81,Internet bill,Utilities
03-02-2023,125.79,Water bill,Utilities
