date,amount,description,category
2024-04-12,17560,House Rent,Rent
2024-06-28,3743,Movie Ticket,Entertainment
2024-04-02,3950,Water Bill,Utilities
2024-01-15,1414,Movie Ticket,Entertainment
2024-04-16,2998,Swiggy Order,Food
2024-03-12,2721,Flipkart Order,Shopping
2024-01-21,16065,House Rent,Rent
2024-04-12,17343,House Rent,Rent
2024-05-01,3862,Metro Card,Transport
2024-03-15,4770,Amazon Purchase,Shopping
2024-03-28,2292,Uber Ride,Transport
2024-04-26,4133,Electricity Bill,Utilities
2024-04-09,3210,Fuel,Transport
2024-04-13,2726,Zomato,Food
2024-05-31,2135,Flipkart Order,Shopping
2024-05-10,519,Netflix Subscription,Entertainment
2024-05-29,1220,Misc Expense,Uncategorized
2024-02-22,1050,Netflix Subscription,Entertainment
2024-01-02,1957,Zomato,Food
2024-03-28,1965,Netflix Subscription,Entertainment
2024-06-06,17853,House Rent,Rent
2024-02-07,3328,Fuel,Transport
2024-05-09,2471,Uber Ride,Transport
2024-01-21,194,Movie Ticket,Entertainment
2024-06-09,893,Flipkart Order,Shopping
2024-02-27,17116,House Rent,Rent
2024-01-22,3019,Water Bill,Utilities
2024-03-29,914,Flipkart Order,Shopping
2024-02-18,15362,House Rent,Rent
2024-02-28,3105,Swiggy Order,Food
2024-06-18,1739,Swiggy Order,Food
2024-01-15,4551,Water Bill,Utilities
2024-06-23,3035,Misc Expense,Uncategorized
2024-02-20,3277,Restaurant Bill,Food
2024-04-17,3549,Netflix Subscription,Entertainment
2024-02-24,3633,Restaurant Bill,Food
2024-03-04,3897,Misc Expense,Uncategorized
2024-05-10,1892,Misc Expense,Uncategorized
2024-02-20,3517,Swiggy Order,Food
2024-05-14,3130,Water Bill,Utilities
2024-01-21,1954,Misc Expense,Uncategorized
2024-03-13,17708,House Rent,Rent
2024-06-15,16332,House Rent,Rent
2024-01-18,18507,House Rent,Rent
2024-05-11,674,Movie Ticket,Entertainment
2024-03-29,2222,Metro Card,Transport
2024-02-29,3381,Misc Expense,Uncategorized
2024-01-14,3700,Fuel,Transport
2024-01-09,4958,Amazon Purchase,Shopping
2024-03-30,2090,Swiggy Order,Food
2024-02-22,4480,Swiggy Order,Food
2024-05-09,2813,Flipkart Order,Shopping
2024-03-24,3220,Swiggy Order,Food
2024-04-01,788,Swiggy Order,Food
2024-04-20,1824,Flipkart Order,Shopping
2024-06-20,1892,Restaurant Bill,Food
2024-01-08,15989,House Rent,Rent
2024-06-23,1051,Netflix Subscription,Entertainment
2024-02-04,2817,Water Bill,Utilities
2024-03-21,1600,Swiggy Order,Food
2024-06-12,2165,Fuel,Transport
2024-02-19,18057,House Rent,Rent
2024-04-13,2261,Uber Ride,Transport
2024-05-11,3435,Fuel,Transport
2024-01-02,4995,Electricity Bill,Utilities
2024-05-13,16901,House Rent,Rent
2024-02-23,154,Uber Ride,Transport
2024-04-15,3562,Zomato,Food
2024-01-04,4508,Amazon Purchase,Shopping
2024-02-23,2590,Restaurant Bill,Food
2024-05-25,3410,Metro Card,Transport
2024-02-13,3775,Amazon Purchase,Shopping
2024-06-10,2243,Zomato,Food
2024-01-14,1411,Misc Expense,Uncategorized
2024-04-04,4083,Electricity Bill,Utilities
2024-02-17,15164,House Rent,Rent
2024-01-15,922,Zomato,Food
2024-02-09,4525,Electricity Bill,Utilities
2024-03-22,3256,Restaurant Bill,Food
2024-04-20,1014,Swiggy Order,Food
2024-02-22,4277,Flipkart Order,Shopping
2024-01-24,3694,Electricity Bill,Utilities
2024-06-02,16409,House Rent,Rent
2024-05-03,18190,House Rent,Rent
2024-02-10,15804,House Rent,Rent
2024-06-05,3677,Metro Card,Transport
2024-01-15,4788,Movie Ticket,Entertainment
2024-02-14,2206,Water Bill,Utilities
2024-03-05,4931,Water Bill,Utilities
2024-03-29,3380,Fuel,Transport
2024-03-11,17599,House Rent,Rent
2024-01-09,3530,Amazon Purchase,Shopping
2024-03-28,2641,Zomato,Food
2024-05-08,541,Misc Expense,Uncategorized
2024-05-15,2757,Misc Expense,Uncategorized
2024-03-03,15074,House Rent,Rent
2024-05-18,4024,Water Bill,Utilities
2024-03-21,2181,Electricity Bill,Utilities
2024-05-15,4783,Amazon Purchase,Shopping
2024-06-11,441,Zomato,Food
2024-06-11,745,Swiggy Order,Food
2024-02-02,554,Movie Ticket,Entertainment
2024-05-02,3069,Amazon Purchase,Shopping
2024-01-05,2781,Metro Card,Transport
2024-02-10,3167,Metro Card,Transport
2024-01-28,3876,Misc Expense,Uncategorized
2024-05-14,4989,Restaurant Bill,Food
2024-03-12,2158,Restaurant Bill,Food
2024-01-12,16136,House Rent,Rent
2024-06-10,1350,Movie Ticket,Entertainment
2024-02-02,4250,Misc Expense,Uncategorized
2024-02-17,4601,Flipkart Order,Shopping
2024-05-30,1885,Netflix Subscription,Entertainment
2024-03-02,1862,Restaurant Bill,Food
2024-02-06,4560,Electricity Bill,Utilities
2024-04-08,253,Swiggy Order,Food
2024-06-20,2443,Uber Ride,Transport
2024-04-13,160,Netflix Subscription,Entertainment
2024-02-04,4220,Flipkart Order,Shopping
2024-04-10,3669,Restaurant Bill,Food
2024-06-23,1558,Movie Ticket,Entertainment
2024-05-10,17322,House Rent,Rent
2024-01-01,19090,House Rent,Rent
2024-01-05,429,Misc Expense,Uncategorized
2024-05-21,4207,Amazon Purchase,Shopping
2024-04-12,4162,Fuel,Transport
